HU N P u v hel DD mois heure FFp FFo
90.9 1 1012.1 5 -5.8 -31.3 -0.86 9 15 7.66 10.4
69.3 1 1014.2 4.2 -4.1 -1.75 -0.77 9 15 5.87 7.4
74.2 1 1015.5 3.6 -3.9 8.36 -0.83 9 15 5.31 6.8
65.7 1 1015 4.9 -7.1 13.44 -0.97 9 18 8.63 11.9
93 1 1017.4 2.7 -3.1 -23.8 -0.85 9 15 4.11 3.7
51.3 1 1017.4 5.2 -6.2 36.91 -0.87 9 12 8.09 12.1
59.5 1 1017.9 5.4 -4.6 37.36 -0.7 9 18 7.09 11.4
71.2 1 1019.5 0.9 -4.5 -18.16 -1.37 9 21 4.59 7
89.5 1 1017.2 0.7 -1.4 -25.95 -1.11 9 15 1.57 5.9
84 1 1020.1 1.1 -3 6.99 -1.22 9 15 3.2 5.9
73.5 1 1019.5 0.9 -4.7 4.32 -1.38 9 9 4.79 7.3
77.1 1 1019.1 1.6 -1.8 5.79 -0.84 9 21 2.41 7
75 1 1019.2 2 -2.1 7.29 -0.81 9 21 2.9 7
88.3 1 1018.9 0.6 -1.3 14.73 -1.14 9 15 1.43 3.2
89 1 1018.5 0.3 -1.2 -16.68 -1.33 9 15 1.24 3.2
92 1 1018.8 0.7 -1.4 -22.78 -1.11 9 15 1.57 4
98.8 1 1019.2 1.7 -0.7 -12.27 -0.39 10 0 1.84 5.5
92.2 7 1016.5 0.2 -2.5 -29.37 -1.49 10 15 2.51 5.9
49.1 1 1014 -1.2 3.3 -1.54 1.92 10 12 3.51 3.4
34 1 1013.3 0.8 4.6 2.22 1.4 10 15 4.67 6.1
49 1 1013.9 0.6 0.3 -16.13 0.46 10 21 0.67 3.7
55 1 1015 -1.1 -1 20.61 -2.4 10 0 1.49 3.7
74.9 1 1014 -5.4 6.3 139.36 2.28 10 18 8.3 14.2
97 1 1014.3 -7.8 7.7 188.49 2.36 10 21 10.96 15.5
93.2 1 1011.5 -8.6 9.3 256.79 2.32 10 15 12.67 18.3
88.4 1 1011.3 -10.5 10.6 301.11 2.35 10 9 14.92 20.8
82.5 1 1006.4 -10.5 13.3 134.07 2.24 10 15 16.95 22.3
89.7 1 1002.2 -12.6 11.9 252.36 2.38 10 0 17.33 25.6
92.8 2 1004.7 -8.8 11.7 182.96 2.22 10 15 14.64 24.7
92.8 1 1002.5 -0.2 4.8 43.52 1.61 10 12 4.8 20.2
94.7 1 1003.9 11.6 4.4 82.02 0.36 10 12 12.41 20.2
89.4 1 1005.9 13.4 2.4 57.1 0.18 10 15 13.61 18.5
91.9 1 1007.5 12.8 0.8 49.84 0.06 10 18 12.82 20.4
93.4 1 1010 14.4 1.7 201.56 0.12 10 21 14.5 16.2
92 1 1013.3 5.2 -3.8 -47.37 -0.63 10 15 6.44 5.2
86.8 1 1011.2 -1 -2.4 54.04 -1.97 10 15 2.6 5.4
93.1 1 1011.9 -2.4 -1.9 78.9 -2.47 10 15 3.06 7
82 1 1011.3 -1.5 -2.7 108.78 -2.08 10 15 3.09 7
76.8 1 1014.2 -6.4 6.6 116.01 2.34 10 12 9.19 11.2
77.7 1 1014.7 -5.1 7.3 74.4 2.18 10 15 8.91 11.3
86.3 1 1016.3 -3.4 3.8 36.83 2.3 10 18 5.1 10.2
91 1 1014.7 -5.1 2.4 97.55 2.7 10 0 5.64 7.8
92.5 1 1016.9 -6 3.9 105.94 2.56 10 15 7.16 8.9
82.6 1 1016.9 -8.2 6.5 299.87 2.47 10 18 10.46 14.9
91.8 1 1016.5 -9.2 7 154.94 2.49 10 15 11.56 13.7
94.1 1 1015.6 -8.4 7.9 181.88 2.39 10 15 11.53 13.7
87.9 1 1017.9 -9.5 8.3 170.52 2.42 10 18 12.62 18
87.5 1 1016 -8.8 8.3 232.34 2.39 10 15 12.1 13.1
87 1 1017.3 -9.1 4.7 211.82 2.67 10 15 10.24 11.8
92.5 1 1009.5 -9.7 6.6 294.29 2.54 10 0 11.73 19
90.7 2 1007.6 -9.1 6.1 243.5 2.55 10 15 10.96 15.7
93.3 5 1008.9 -9.9 6.2 209.41 2.58 10 15 11.68 13.8
84.1 3 1002.3 -16 3.2 308 2.94 10 9 16.32 17.3
87.3 1 1000.9 -15.5 5.4 254.61 2.81 10 15 16.41 16.8
92.6 1 1002.3 -7.1 3.3 1.24 2.71 10 0 7.83 9.4
93.7 1 1007.5 -7.6 3.6 56.06 2.7 10 18 8.41 9.2
80.1 1 1004.8 0.2 -1.6 49.18 -1.45 10 15 1.61 5.3
76.9 1 1010 3.8 -2.2 48.48 -0.52 10 18 4.39 9.7
84.2 1 1010.5 0.7 -0.7 -3.82 -0.79 10 0 0.99 8.5
70.1 1 1012.3 6.9 -1.1 54.83 -0.16 10 12 6.99 6.5
88.3 1 1014 0.3 -1.4 63.71 -1.36 10 15 1.43 7.3
69.2 1 1012.5 6.8 -0.8 42.06 -0.12 10 12 6.85 8.4
70.2 1 1012.6 6.6 -3 161.69 -0.43 10 18 7.25 7.8
90.3 1 1013.8 5.1 -1.1 131.2 -0.21 10 21 5.22 11.1
88.7 1 1015.6 1.1 -1.5 -5.95 -0.94 10 15 1.86 9.4
80.5 1 1012 7.5 -5.3 80.27 -0.61 10 18 9.18 12.3
93.9 1 1015.7 5.7 -4.8 66.14 -0.7 10 0 7.45 9.6
59.1 1 1015.3 5.7 -10.1 72.77 -1.06 10 12 11.6 17.8
90.2 1 1021.7 5.5 -5.4 112.57 -0.78 10 15 7.71 12.7
82 1 1021.3 7.2 -7.4 102.89 -0.8 10 12 10.32 12.8
96.2 1 1016.4 8.7 -3.6 4.77 -0.39 10 0 9.42 15.6
45.2 1 1022.4 -2.9 -4 -21.38 -2.2 10 12 4.94 5.4
46.3 1 1022.3 -0.7 1.1 -6.63 2.14 10 18 1.3 2.9
87.5 1 1022.8 -3.8 2.5 154.21 2.56 10 15 4.55 6.1
75.5 1 1023.7 -3.5 2 145.77 2.62 10 15 4.03 6.1
85.5 1 1023.4 -4 3.7 179.73 2.39 10 15 5.45 6.7
96.9 1 1021.2 -1.7 0.1 52.02 3.14 10 0 1.7 3.9
97.8 1 1018.8 -0.4 -1.1 46.44 -1.92 10 15 1.17 3.1
81.4 1 1019.2 4.8 1.9 -6.59 0.38 10 12 5.16 5.8
75.1 1 1017.7 4.2 0.4 -34.03 0.1 10 15 4.22 8.5
83.3 1 1017.6 1.5 1.2 32.6 0.67 10 18 1.92 7.8
81.2 1 1016 6.7 -9.9 230.97 -0.98 10 9 11.95 17.9
66.4 1 1022.1 4.9 -12.6 290.27 -1.2 10 0 13.52 12.8
71.7 1 1026.6 5.1 -5.6 284.29 -0.83 10 9 7.57 12.9
61.9 1 1027.2 0.4 -1.4 10.68 -1.29 10 15 1.46 2.5
40.1 1 1023.8 3.1 -0.8 11.3 -0.25 10 15 3.2 4.4
37.6 1 1021.3 -0.2 -1.1 -11.59 -1.75 10 15 1.12 3.7
54.8 1 1017.9 -7 4.4 287.3 2.58 10 15 8.27 9
47.5 1 1018.1 -5.8 1.8 220.2 2.84 10 15 6.07 9
92.1 1 1012.5 -12.9 10.9 472.68 2.44 10 18 16.89 23.9
98.2 1 1010.9 2 2.2 -53.78 0.83 10 9 2.97 7.4
94.4 2 1000.8 -2.9 10.8 0.9 1.83 10 18 11.18 8.1
90 1 996.7 -9.1 5.2 76.28 2.62 10 15 10.48 11.5
79.1 2 995.2 -5.6 7.6 52.75 2.21 10 12 9.44 13.4
96.1 2 1007.7 6 -7.8 118.1 -0.92 11 15 9.84 4
93.6 1 1015.2 9.1 -7 195.68 -0.66 11 18 11.48 12.4
93.1 1 1013.9 5.3 -7.5 153.41 -0.96 11 21 9.18 13.2
95.4 1 1016.5 5.1 -7.2 30.49 -0.95 11 15 8.82 13.6
87.4 1 1020.3 7.9 -6.9 102.35 -0.72 11 12 10.49 15.2
97.5 1 1023.8 5.6 -7.1 123.38 -0.9 11 15 9.04 7.8
97.9 1 1022.5 5.1 -5 80.46 -0.78 11 15 7.14 7.8
98.2 1 1024.4 4.5 -4.9 86.87 -0.83 11 15 6.65 3.3
98.3 1 1029.5 3.1 -2.7 51.51 -0.72 11 15 4.11 7.7
98.5 1 1031.4 2.1 -2.9 35.32 -0.94 11 15 3.58 5
99.5 1 1030.1 1.7 -1.8 21.97 -0.82 11 15 2.48 5
96.8 1 1031.5 1.4 -1.4 17.27 -0.79 11 18 1.98 7.2
86 1 1030 -0.4 -2 4.68 -1.77 11 15 2.04 2.4
91 1 1030 -0.8 -1.4 5.65 -2.09 11 15 1.61 2.4
93.1 1 1026.8 -0.5 -1.2 3.57 -1.97 11 21 1.3 3.7
99.8 1 1026 -0.4 -1.6 0.35 -1.82 11 0 1.65 4.4
69.5 1 1023.9 -0.7 -2 19.22 -1.91 11 15 2.12 4.1
95.6 1 1022.8 0 -1.1 -3.65 -1.57 11 9 1.1 3.9
91.6 2 1010.2 8.6 -6.7 13.33 -0.66 11 15 10.9 5.3
69.8 1 1006.7 8.2 -5 -10.41 -0.55 11 15 9.6 13.6
73.5 1 1006.3 6 -4.6 -35.72 -0.65 11 15 7.56 13.6
86.3 1 1007 3.9 -4 -31.96 -0.8 11 18 5.59 9.1
91.5 1 984.6 -4.3 9.4 395.66 2 11 12 10.34 9.6
98.8 1 982.5 -0.4 9.3 255.67 1.61 11 15 9.31 11.5
96.4 1 982.3 9.3 1.2 50.3 0.13 11 18 9.38 15
96.8 1 975.5 2.9 10.3 325.56 1.3 11 15 10.7 17
83.1 1 995.2 11.8 -2.7 24.76 -0.22 11 12 12.1 14.4
94.7 1 1005.7 7.2 -3.7 32.38 -0.48 11 18 8.1 10.9
94.6 1 1012 5.5 -4.3 -0.06 -0.66 11 21 6.98 11.9
95.9 1 1010 5.2 -3.5 16.44 -0.59 11 21 6.27 11.9
96.6 1 1012.6 4.5 -3.4 12.16 -0.65 11 0 5.64 14
96 1 1015.8 6 -5.1 17.74 -0.7 11 15 7.87 5.2
83.3 1 1017.6 6.3 0.5 107.83 0.08 11 12 6.32 3.7
80.2 1 1019 5.6 -3.8 21.87 -0.6 11 12 6.77 3.7
97.1 1 1016.5 3.5 2 125.13 0.52 11 18 4.03 13.5
98.2 1 1017.6 10.5 0.6 198.54 0.06 11 9 10.52 11.7
96.7 1 1017.3 8.4 -0.6 -19.14 -0.07 11 15 8.42 9.7
93.9 1 1017.3 6.3 -2 -54.52 -0.31 11 18 6.61 12.4
92.5 1 1015.4 2.7 -0.1 -25.32 0 11 0 2.7 6.9
92 1 1012.9 -0.9 -0.9 29.1 -2.36 11 9 1.27 3.9
80.5 1 1009.2 -2.8 3.2 51.14 2.29 11 15 4.25 9.3
96 1 1009.5 -7 4.2 182.69 2.6 11 0 8.16 12.5
97.1 1 1005.5 -9.3 10.5 426.05 2.3 11 15 14.03 16.6
92.3 1 1006.5 -10.2 10.6 481.2 2.34 11 12 14.71 16
92 1 1006.6 -5.5 10 150.15 2.07 11 15 11.41 12.4
89.7 1 1005.7 -10.2 13.6 543.97 2.21 11 18 17 12.3
92.2 1 1007 -8.2 11.7 266.15 2.18 11 0 14.29 17
96.2 2 1010.2 4.6 -2.5 -23.53 -0.5 11 15 5.24 16.5
92.9 1 1018.3 7.4 -8.5 163.32 -0.85 11 18 11.27 15
97.1 1 1016.5 3.7 -2.3 44.35 -0.56 11 0 4.36 10.2
70 1 1008.9 -1 0.6 21.16 2.6 11 12 1.17 3.6
98.2 2 1011.7 3.6 -1.1 -53.34 -0.29 11 0 3.76 4.7
98.5 1 1011.8 2.1 -1.4 14.55 -0.59 11 0 2.52 4.7
97.8 2 1012.1 2 -1.6 -9.76 -0.67 11 15 2.56 10.2
98.6 1 1013.8 1.2 -0.5 37.85 -0.39 11 18 1.3 9.4
86 1 1014.9 -2.4 4.6 23.82 2.05 11 15 5.19 8
86.2 1 1010.7 -8.1 13 252.11 2.13 11 0 15.32 8.8
91.3 1 1007.6 6.6 -0.4 -19.59 -0.06 11 12 6.61 17.2
85.7 1 1002.8 0.8 4.5 18.04 1.39 11 15 4.57 4.4
92.7 1 1003 0 -2.2 10.28 -1.57 11 9 2.2 4.7
95.3 1 1007.7 7.7 -4.7 33.65 -0.55 11 21 9.02 13.2
95.3 1 1007.6 6.8 -4.6 30.58 -0.59 11 0 8.21 15.8
95.4 1 1008.7 6.3 -5.2 -22.49 -0.69 11 15 8.17 15.9
94 1 1015.7 3.8 -4.7 -11.58 -0.89 11 21 6.04 10
88.2 1 1009.3 6.7 -6.2 -16.91 -0.75 11 15 9.13 13.3
85.8 1 1012.3 9.1 -5.7 9.67 -0.56 11 12 10.74 14.8
80.3 1 1010.8 6 -5.9 -25.35 -0.78 11 12 8.41 14.8
79.7 2 1006.1 -1 -1.1 116.53 -2.31 11 15 1.49 5.2
80.2 1 1007.5 1.6 0.6 -21.03 0.36 11 18 1.71 3.7
83.8 1 1004.7 -0.9 -1.1 71.09 -2.26 11 15 1.42 3.9
88 1 1010 6.2 -3.2 -47.52 -0.48 11 0 6.98 15.7
68 2 1004.8 -9.8 5.6 400.74 2.62 11 18 11.29 7
72.5 4 1000.1 -10.1 6.5 533.97 2.57 11 12 12.01 9.9
94.5 5 996.2 -3.6 5.5 120.02 2.15 11 21 6.57 4.5
92.7 1 999.5 11.4 2.1 23.97 0.18 12 12 11.59 13
84.6 1 1004.9 9 -2.3 -26.43 -0.25 12 18 9.29 10.7
98.2 1 1011.5 3.5 1.6 36.91 0.43 12 0 3.85 3.1
96.4 1 1010.3 0.1 0.1 -16.88 0.78 12 15 0.14 2.4
85.2 1 1015.3 6.2 -5.4 28.88 -0.72 12 12 8.22 17.4
90.8 1 1020.5 5.8 -3.7 41.3 -0.57 12 21 6.88 14
89.3 1 1021.8 2.5 -2.8 -17.09 -0.84 12 15 3.75 6.2
65 1 1021.5 -2.8 -0.6 128.15 -2.94 12 21 2.86 6.7
91.4 1 1018.8 -9.3 7.1 455.63 2.49 12 15 11.7 11
95.1 1 1013.8 -9.4 9.2 386.16 2.37 12 9 13.15 15.4
91.8 1 1012.4 -8.9 9.6 368.5 2.32 12 12 13.09 14.3
97 1 1006.4 -6.8 8.7 323.65 2.23 12 18 11.04 12.5
91.1 1 999.4 -2 3 108.86 2.16 12 12 3.61 3.5
97.4 1 1000.3 -0.4 1.2 158.36 1.89 12 18 1.26 5
94.2 1 1005.2 -0.6 0.1 18.71 2.96 12 12 0.61 5.1
94.1 1 1019.9 5.5 -2.1 -34.77 -0.37 12 15 5.89 10.5
68.3 1 1031.1 3.6 -6.9 -55.82 -1.09 12 18 7.78 9.3
79.2 1 1036.6 3 -1.7 -15.61 -0.52 12 15 3.45 9.6
59.3 1 1035.3 1.4 -5.3 -49.25 -1.31 12 12 5.48 9.7
88.6 1 1029.4 1.6 -3.1 -52.96 -1.09 12 15 3.49 5.9
58.9 1 1021.9 0.7 -1.4 -8.72 -1.11 12 18 1.57 9.2
59.2 1 1019.2 -0.5 -4.4 20.01 -1.68 12 15 4.43 2.1
61.3 1 1015.4 0 -1.4 -15.95 -1.57 12 15 1.4 2.1
65.2 1 1015.2 0.2 -1.8 -43.6 -1.46 12 9 1.81 2.5
76.3 1 1012.2 -0.6 -3.8 -64.79 -1.73 12 18 3.85 16.7
68.8 1 1013 -1.2 -8.9 -103.98 -1.7 12 0 8.98 15.5
67 1 1014 -1.2 -8.1 -58.48 -1.72 12 15 8.19 20.2
45.6 1 1024.7 2.8 -5.2 -25.25 -1.08 12 12 5.91 12.3
84.1 1 1028.6 3.9 -1.8 100.16 -0.43 12 15 4.3 9.1
97 1 1027.4 9.7 -4.2 300.73 -0.41 12 0 10.57 11.9
92.3 1 1024.2 8 -5.6 175.36 -0.61 12 15 9.77 15.8
97.8 1 1014.9 8.4 0.3 180.44 0.05 12 21 8.41 9
99.6 1 1011.1 10.8 0.8 304.42 0.07 12 21 10.83 9
96.4 1 1008.7 13.3 1.5 363.89 0.11 12 0 13.38 7.4
97 1 1003.1 11.9 3.4 275.82 0.28 12 15 12.38 17.2
91.9 1 1006.3 1.3 -1.4 -1.94 -0.82 12 15 1.91 7.1
83.7 1 1006.9 1.8 -2.2 3.5 -0.88 12 15 2.84 7.1
64.5 1 1005.2 -0.1 -0.4 42.08 -1.82 12 15 0.41 3.7
97 2 1001.3 -5.8 4.9 196.2 2.44 12 12 7.59 17.1
98.9 1 1006.2 -0.2 5 165.58 1.61 12 18 5 5.5
96.1 1 1004.5 -1.8 1.7 60.63 2.38 12 18 2.48 5.5
93.7 1 998.3 -9.1 10.6 291.42 2.28 12 15 13.97 24.2
95.8 1 1002 8.2 -1.9 34.21 -0.23 12 0 8.42 9.5
93.3 1 1009.3 10.7 -5.8 74.23 -0.5 12 9 12.17 19.3
86.5 1 1012.5 9.3 -9 104.35 -0.77 12 21 12.94 17.7
85.4 1 1016.2 9.6 -8.5 210.18 -0.72 12 12 12.82 17.8
62 1 1025.5 6.2 -5.8 163.84 -0.75 12 18 8.49 20.3
51 1 1021.6 -0.9 -3.2 -0.49 -1.85 12 9 3.32 5.8
95 1 1021.7 -5.1 2.7 110.94 2.65 12 0 5.77 8.7
88.7 1 1019.9 -0.4 -1.2 16.96 -1.89 12 15 1.26 6.4
94.1 1 1019.6 -0.2 -1 9.97 -1.77 12 12 1.02 4
83.1 3 1019.7 -1.9 1.1 57.78 2.61 12 15 2.2 5
85 1 1020.6 -0.4 -1.5 42.59 -1.83 12 9 1.55 5.5
87.1 5 1019.3 -4.9 4.6 84.65 2.39 12 15 6.72 10.6
94.9 1 1020.6 -5.3 4.7 64.46 2.42 12 21 7.08 8.9
95.2 1 1019.1 -5.4 3.7 42.6 2.54 12 15 6.55 9.9
93.4 1 1017.9 -7.2 7.5 81.98 2.34 12 12 10.4 11.9
94.9 1 1018.5 -6.3 5.3 -48.9 2.44 12 15 8.23 14.1
94.3 3 1019.7 -6.5 6.7 178.91 2.34 12 0 9.33 11.6
92.3 1 1020.8 -1.9 -0.9 1.8 -2.7 12 18 2.1 5.8
89.7 1 1021 -0.6 -1.1 4.49 -2.07 1 0 1.25 1.6
79.9 1 1018.8 2.2 -1.1 17.47 -0.46 1 15 2.46 9.5
99.2 1 1019.3 2.9 -2.4 31.98 -0.69 1 0 3.76 6.5
93.8 1 1019 3.8 -3.7 43.82 -0.77 1 15 5.3 6.7
82.8 1 1019.8 3.2 -3.9 4.53 -0.88 1 12 5.04 11
87.9 1 1023.7 2.9 -2.3 51.79 -0.67 1 0 3.7 5.9
61.1 1 1022.5 -0.2 -4 11.74 -1.62 1 12 4 4.8
69.1 1 1019.8 -0.5 -0.6 23.06 -2.27 1 9 0.78 1.2
67.2 1 1022 0.6 0.1 11.22 0.18 1 12 0.61 3.1
96.5 1 1015.2 -4.7 4.5 194.25 2.38 1 15 6.51 5.6
97.6 1 1014.9 -4.3 4.4 121.72 2.35 1 12 6.15 9.1
98.2 1 1013.6 -4.4 6.7 251.88 2.15 1 0 8.02 12.1
96.8 1 1014.7 -5 6.9 190.77 2.2 1 12 8.52 11.6
94.6 1 1014.3 -4.3 5.5 202.53 2.23 1 0 6.98 9.2
94.6 1 1013.9 -5.6 5.3 203.02 2.38 1 0 7.71 9.2
95.3 1 1016 -6.6 5.8 94.59 2.42 1 0 8.79 9.2
94.7 1 1014.2 -9.3 8.2 404.36 2.42 1 21 12.4 16.2
91.7 1 1015.6 -5.1 3.2 -1.74 2.58 1 12 6.02 9.3
89.9 1 1017.5 -2.8 4.2 -39.55 2.16 1 15 5.05 11.1
90.5 1 1015.4 6.9 0.6 16.31 0.09 1 15 6.93 8.7
95.4 1 1022.2 1.5 -3.5 -44.99 -1.17 1 15 3.81 6.3
94 1 1025.4 3 -3.5 6.38 -0.86 1 21 4.61 3.6
87.4 5 1016.2 -0.3 0.2 137.34 2.56 1 15 0.36 3.3
97.8 1 1015.7 7.9 2.1 47.83 0.26 1 12 8.17 7.8
93.7 1 1022.9 8.6 -5.2 -54.84 -0.54 1 18 10.05 19.7
96.2 1 1027.1 4.5 -3.9 47.29 -0.71 1 18 5.95 3.8
97.3 1 1026.8 5.4 -4 107.74 -0.64 1 15 6.72 13.6
95.4 1 1026.2 5.7 -4.2 77.94 -0.63 1 15 7.08 13.6
99 1 1027.2 3 -0.4 33.27 -0.14 1 9 3.03 7.1
86.7 1 1023.2 0.3 -3.1 -37.29 -1.47 1 18 3.11 10.9
51.1 1 1019.3 -0.2 -1.8 -8.9 -1.68 1 15 1.81 4
43.2 1 1021 -0.2 -1.8 11.24 -1.68 1 9 1.81 3.9
72 1 1025.4 2.4 0.1 -78.14 0 1 21 2.4 8.9
87 1 1029.6 3 -4.6 -17.33 -0.99 1 9 5.49 9.5
75.2 1 1026.7 -0.2 -1.4 3.68 -1.71 1 21 1.41 4.3
54.5 1 1025.6 -0.5 -2 26.5 -1.82 1 0 2.06 5.2
34.8 1 1026.8 -0.9 -1.4 7.39 -2.14 1 0 1.66 5.2
68.7 1 1027 -3 5.5 81.45 2.07 1 15 6.26 8.7
98 1 1031.4 -2.7 1.1 31.41 2.75 1 0 2.92 5.8
95.6 1 1027.9 -2.2 1 -19.82 2.71 1 12 2.42 5
89 1 1027 -1.4 -0.6 -32.44 -2.74 1 15 1.52 4.7
63.3 1 1026.2 1.1 -0.6 -10.78 -0.49 1 18 1.25 3.7
69.5 1 1025.7 0 -2 10.19 -1.57 1 15 2 4.1
86.5 1 1028.5 0 -1.4 -52.84 -1.57 1 9 1.4 5.2
64.4 1 1024.2 -2.9 -8.2 103.47 -1.91 1 15 8.7 14.4
70 1 1022.2 -1.9 -8.4 -83.9 -1.79 1 15 8.61 11.7
62.1 1 1019.5 1.2 -11.3 257.74 -1.46 1 15 11.36 18
60.8 1 1025 -1.6 -12.7 165.42 -1.7 1 9 12.8 20.2
59 1 1024.3 2.2 -9.8 266.15 -1.35 1 18 10.04 23.7
78.5 1 1023.2 1 -3.2 29.57 -1.27 1 15 3.35 15.9
85.2 1 1023.6 1.8 -0.5 93.09 -0.27 1 15 1.87 6.3
93.3 1 1022.7 1.3 -0.5 83.78 -0.36 1 15 1.39 6.3
82.3 1 1024.1 1.9 -1.4 54.64 -0.63 1 15 2.36 6.3
84.6 1 1024 4.2 -2.5 187.3 -0.54 1 15 4.89 6
92.5 1 1023.1 1.7 -1.1 43.23 -0.57 1 15 2.02 4.4
93.2 1 1023.2 1 -0.8 28.25 -0.67 1 15 1.28 4
94.6 1 1023.5 1.1 -0.4 6.48 -0.35 1 9 1.17 4.5
100 1 1018.9 2.4 -0.8 20.68 -0.32 1 0 2.53 7.6
94.7 1 1008.6 4.5 -4 6.95 -0.73 1 15 6.02 9.7
87.8 1 1008.6 -7.6 3.8 92.07 2.68 1 15 8.5 12.8
76.5 1 1007.1 -9.4 3.9 120.89 2.75 1 15 10.18 12.8
78.3 1 1009.1 -6.6 0.1 128.33 3.14 1 18 6.6 8.7
80.2 1 1011.8 -8.7 7.9 144 2.4 1 15 11.75 17.7
72.8 1 1013.1 -8.7 4.6 232.05 2.66 1 0 9.84 14.1
81.8 3 1012.7 -8 6.7 148.53 2.44 1 0 10.44 14.1
82.7 4 1011.9 -9.4 3.4 27.66 2.79 1 12 10 9.2
91.5 7 1013.5 -7.7 3 174.95 2.77 1 18 8.26 10.1
73.8 1 1012.5 0.7 -0.7 12.11 -0.79 1 15 0.99 3.1
79.4 1 1020.2 -0.7 -3.4 13.29 -1.77 1 0 3.47 5.7
97 1 1019.2 1.5 -1.8 23.14 -0.87 1 15 2.34 7.2
99 1 1019.4 1.1 -3 17.59 -1.22 1 15 3.2 7.2
95.9 1 1021.9 2.5 -2.6 20.49 -0.81 1 12 3.61 5.8
99.5 1 1024.7 3 -2.8 52.62 -0.75 2 15 4.1 5.2
99.9 1 1027.5 3.5 -1.8 57.1 -0.48 2 15 3.94 5.2
90.9 1 1027.5 5.8 -1.8 72.06 -0.3 2 15 6.07 7.7
94.8 1 1031.3 6.2 -3.8 189.56 -0.55 2 15 7.27 6.8
97.7 1 1033.8 3.1 -2.6 128.57 -0.7 2 15 4.05 2.4
97 1 1033.9 3 -4.2 55.51 -0.95 2 15 5.16 7.2
94.9 1 1036.9 3.1 -4 76.52 -0.91 2 21 5.06 9.6
59.9 1 1032.8 2.3 -2.2 8.85 -0.76 2 15 3.18 5.3
62.8 1 1034.2 0.1 -1.6 -14.3 -1.51 2 0 1.6 4.4
50.4 1 1028.2 2 -2.7 40.07 -0.93 2 15 3.36 5.6
50.8 1 1027.3 0 -1.1 16.38 -1.57 2 18 1.1 4.6
57.6 1 1024.9 0.2 1.9 -3.12 1.47 2 18 1.91 5.4
59.8 1 1024.7 -0.3 -0.9 0.01 -1.89 2 21 0.95 5
72.3 1 1021.9 -0.2 -1 5.13 -1.77 2 12 1.02 2.7
70.8 1 1021.5 0.2 1.4 0.64 1.43 2 18 1.41 4.1
47.1 1 1023.8 -0.1 -1.6 2.62 -1.63 2 9 1.6 4.6
57.2 1 1023.4 -2.1 -2.5 2.66 -2.27 2 12 3.26 2.8
62.9 1 1021.3 -0.8 -1.4 22.38 -2.09 2 0 1.61 3.5
44.3 1 1020.1 -0.4 -1.6 3.45 -1.82 2 15 1.65 6.8
66.2 1 1018.9 0.2 -0.7 -20.21 -1.29 2 15 0.73 3.4
70.2 1 1019.7 3.4 0.8 8.63 0.23 2 12 3.49 3.1
63.9 1 1021.1 2.7 -1.5 -5.56 -0.51 2 12 3.09 3.1
92.2 1 1019.1 0.2 -0.8 -31.28 -1.32 2 0 0.82 2.1
96.5 1 1016 0.1 -1.1 33.61 -1.48 2 15 1.1 4.2
90.5 1 1009.6 -5.9 2.6 87.62 2.73 2 18 6.45 11.4
92.2 1 1010.2 -4.5 1.8 45.65 2.76 2 21 4.85 7.9
92.5 1 1010.7 -0.1 -2 15.76 -1.62 2 15 2 3.5
99.4 1 1010.1 0 -0.8 -16.23 -1.57 2 0 0.8 2.8
91.5 1 1006.8 -0.7 -0.7 83.09 -2.36 2 15 0.99 9.2
93.1 1 1004.4 -1.4 6.4 116.92 1.79 2 15 6.55 8.6
86.7 1 1004.4 -2.5 4.2 33.96 2.11 2 12 4.89 4
71.1 1 1002.7 -0.7 3.4 7.01 1.77 2 15 3.47 5
86.9 1 999.6 0.9 -1.5 2.98 -1.03 2 15 1.75 4.5
87.7 1 1000.7 -2.1 -1.5 24.14 -2.52 2 15 2.58 4.5
68.5 1 995.4 -0.3 5.7 39.06 1.62 2 15 5.71 5.6
86.7 1 999 -1.3 3.8 -0.33 1.9 2 18 4.02 10.6
84.1 1 993 -8.8 -0.8 282.98 -3.05 2 15 8.84 9
91.2 1 993.7 -7.8 0.9 175.71 3.03 2 15 7.85 9.5
95.9 1 1006.8 5.3 -2.7 75.6 -0.47 2 0 5.95 2.2
97.2 1 1012.1 5.6 -2.8 108.3 -0.46 2 15 6.26 3.9
92.5 1 1010.6 5.2 -4 42.13 -0.66 2 15 6.56 3.9
76 4 1013.2 -0.3 -1.2 12.21 -1.82 2 15 1.24 5.7
92.9 1 1017.8 5.3 -4 22.56 -0.65 2 21 6.64 10.3
94.4 7 1017.1 0.5 -0.9 -71.88 -1.06 2 0 1.03 8.6
87.4 1 1013.7 5 -3.8 -5.75 -0.65 2 15 6.28 12.4
92.7 1 1022.6 3.6 -6.2 6.5 -1.04 2 15 7.17 4.5
88 1 1028.6 5.4 -7.7 12.25 -0.96 2 12 9.4 14
90.9 1 1028.9 5.5 -5.6 50.47 -0.79 2 18 7.85 15.1
93.6 1 1029.7 2.6 -4.1 69.28 -1.01 2 9 4.85 9.2
97.7 6 1027.2 3.9 -2.4 23.32 -0.55 2 0 4.58 8.8
87.5 1 1022.9 6.8 -3.5 9.54 -0.48 2 12 7.65 12.8
83 1 1021 7.8 -3.1 65.4 -0.38 2 15 8.39 11.7
